,accuracy,recall,precision,sensitivity,specificity,f1_score,negative_predictive_value,positive_predictive_value,tn,tp,fn,fp
?,0.9032480995162405,0.288590602089996,0.5584415511890708,0.288590602089996,0.9738058544115517,0.3805300715817266,0.9226277365528264,0.5584415511890708,1264.0,43.0,106.0,34.0
federal_gov,0.6605981794538361,0.21594684313638923,0.722222214197531,0.21594684313638923,0.9465811945585872,0.33248010792858856,0.6524300432217525,0.722222214197531,443.0,65.0,236.0,25.0
local_gov,0.7415005861664713,0.23471400348182642,0.6918604610938346,0.23471400348182642,0.9557964962837393,0.3505147063032404,0.7470664923421991,0.6918604610938346,1146.0,119.0,388.0,53.0
never_worked,1.0,0.0,0.0,0.0,0.9999998571428775,0.0,0.9999998571428775,0.0,7.0,0.0,0.0,0.0
private,0.8126172866762336,0.25164058549933355,0.6986685348993212,0.25164058549933355,0.9696241875551268,0.3700122105658896,0.8223593552919322,0.6986685348993212,13726.0,997.0,2965.0,430.0
self_emp_inc,0.625,0.3611111103946208,0.9145728597257645,0.3611111103946208,0.95749999760625,0.5177801255918618,0.5432624105769328,0.9145728597257645,383.0,182.0,322.0,17.0
self_emp_not_inc,0.7689672050905532,0.26807760093813476,0.7272727237929535,0.26807760093813476,0.9613821131697953,0.3917517891462825,0.7737186473425743,0.7272727237929535,1419.0,152.0,415.0,57.0
state_gov,0.7739463601532567,0.23214285631377551,0.7558139446998379,0.23214285631377551,0.9725130877323127,0.35519053584904425,0.775574111925288,0.7558139446998379,743.0,65.0,215.0,21.0
without_pay,1.0,0.0,0.0,0.0,0.99999990000001,0.0,0.99999990000001,0.0,10.0,0.0,0.0,0.0
