,accuracy,recall,precision,sensitivity,specificity,f1_score,negative_predictive_value,positive_predictive_value,tn,tp,fn,fp
amer_indian_eskimo,0.8833333333333333,0.23076922189349144,0.42857139795918586,0.23076922189349144,0.9626168179316972,0.2999990750027521,0.9115044207455557,0.42857139795918586,206.0,6.0,20.0,8.0
asian_pac_islander,0.7860520094562647,0.2663551389422657,0.7037036950160038,0.2663551389422657,0.9620253149335043,0.3864398786112349,0.7947712407911487,0.7037036950160038,608.0,57.0,157.0,24.0
black,0.8851485148514852,0.2639751544597045,0.6159420245221593,0.2639751544597045,0.9759418969696133,0.36956437578640694,0.900712190657431,0.6159420245221593,2150.0,85.0,237.0,53.0
other,0.9027777777777778,0.21052630470914185,0.39999996000000404,0.21052630470914185,0.969543142286583,0.2758611462574073,0.9271844615185221,0.39999996000000404,191.0,4.0,15.0,6.0
white,0.7856082084514648,0.2585691685254756,0.7293009416314818,0.2585691685254756,0.9669731429369118,0.38177965779909934,0.7912294594738057,0.7293009416314818,15986.0,1471.0,4218.0,546.0
