,accuracy,recall,precision,sensitivity,specificity,f1_score,negative_predictive_value,positive_predictive_value,tn,tp,fn,fp
husband,0.638970102801094,0.2453664700409927,0.8262411341657864,0.2453664700409927,0.9581554225519803,0.37836889422615866,0.6102469269432995,0.8262411341657864,5610.0,1165.0,3583.0,245.0
not_in_family,0.9024685748902014,0.3278443108864606,0.528985505968634,0.3278443108864606,0.9671440604941627,0.40480496933400345,0.9274519306951927,0.528985505968634,5740.0,219.0,449.0,195.0
other_relative,0.9539227895392279,0.27586205945303244,0.333333319444445,0.27586205945303244,0.9793281641093952,0.3018857899640937,0.9730423607534758,0.333333319444445,758.0,8.0,21.0,16.0
own_child,0.9713509508520622,0.3999999920000002,0.188679243503026,0.3999999920000002,0.9784946234112292,0.2564093819884922,0.9923915797635324,0.188679243503026,3913.0,20.0,30.0,86.0
unmarried,0.9395043731778425,0.32947976688161984,0.5327102753952311,0.32947976688161984,0.9805523138932118,0.4071419097981083,0.9560106177641219,0.5327102753952311,2521.0,57.0,116.0,50.0
wife,0.6043338683788122,0.25581395306343196,0.7738693428448777,0.25581395306343196,0.9301242221581922,0.3845186029836767,0.5721107921947365,0.7738693428448777,599.0,154.0,448.0,45.0
