,accuracy,recall,precision,sensitivity,specificity,f1_score,negative_predictive_value,positive_predictive_value,tn,tp,fn,fp
divorced,0.9034913426057337,0.3027777769367284,0.550505047724722,0.3027777769367284,0.9718621558735814,0.3906800864732856,0.9245112779174403,0.550505047724722,3074.0,109.0,251.0,89.0
married_af_spouse,0.6842105263157895,0.1428571224489825,0.9999990000010001,0.1428571224489825,0.9999999166666736,0.2499995000005,0.6666666296296316,0.9999990000010001,12.0,1.0,6.0,0.0
married_civ_spouse,0.6386163312822218,0.24683779757313284,0.8171182260978336,0.24683779757313284,0.9553383457210017,0.3791421443318701,0.6107479330310759,0.8171182260978336,6353.0,1327.0,4049.0,297.0
married_spouse_absent,0.9254658385093167,0.26923075887574005,0.5833332847222263,0.26923075887574005,0.983108104786797,0.36842016897708346,0.9387096743912591,0.5833332847222263,291.0,7.0,19.0,5.0
never_married,0.9467102956643684,0.36082474133808057,0.4022988494186815,0.36082474133808057,0.974537887014991,0.3804337845312048,0.9697892555768316,0.4022988494186815,7961.0,140.0,248.0,208.0
separated,0.9387254901960784,0.2978723340878227,0.45161288865764876,0.2978723340878227,0.9778933667387603,0.3589733918500231,0.957961782219157,0.45161288865764876,752.0,14.0,33.0,17.0
widowed,0.9210191082802548,0.3787878730486686,0.5434782490548207,0.3787878730486686,0.9707927663827639,0.44642759534648624,0.9445196198315026,0.5434782490548207,698.0,25.0,41.0,21.0
